id,target
0,0
2,0
3,0
9,1
11,0
12,1
21,0
22,0
27,1
29,1
30,0
35,0
42,0
43,1
45,0
46,0
47,1
51,0
58,0
60,1
69,1
70,1
72,1
75,1
84,1
87,0
88,0
90,1
94,1
99,0
101,0
103,1
106,1
108,0
111,1
115,0
116,1
122,0
123,0
124,0
125,0
127,0
140,1
142,1
147,1
148,0
150,1
152,0
154,0
155,1
166,1
167,1
169,0
177,0
179,1
181,0
186,0
188,1
189,0
192,1
200,1
202,1
206,1
207,0
214,1
217,0
223,1
224,0
227,1
228,0
230,1
233,1
234,0
236,0
239,0
250,0
255,1
257,0
259,0
275,1
278,1
282,1
284,1
286,1
288,0
292,0
295,0
300,0
304,0
305,0
306,0
308,0
311,0
317,0
319,1
323,1
324,0
325,0
326,0
333,0
339,1
342,0
343,0
350,1
351,0
357,1
359,1
362,0
366,1
367,1
369,1
373,1
374,1
376,1
377,1
378,1
379,0
382,1
385,1
387,1
388,1
391,1
392,1
395,1
399,0
400,0
403,1
405,1
408,1
411,1
414,1
416,0
417,1
422,1
425,1
428,1
430,1
431,1
433,1
434,1
439,1
441,1
449,0
458,0
460,0
464,0
473,0
488,0
491,0
494,1
497,0
500,0
505,0
507,1
508,0
510,0
511,0
515,1
525,1
529,0
532,0
534,0
537,1
539,0
541,0
545,0
547,0
548,0
549,0
553,0
554,0
555,0
557,1
562,1
566,0
572,0
573,1
582,0
586,1
587,0
590,0
591,0
593,0
595,1
596,0
597,0
601,1
602,1
605,0
610,1
616,0
618,1
620,0
626,0
627,1
629,1
632,0
634,0
639,0
645,1
647,0
648,1
650,0
663,1
666,0
668,1
670,1
673,1
676,0
678,1
692,0
693,0
694,1
695,0
696,0
698,0
701,0
703,0
707,0
708,0
711,0
715,0
718,0
722,0
723,1
733,0
741,0
742,0
743,1
747,1
749,0
750,1
756,1
757,0
760,1
764,0
765,1
766,0
768,0
769,0
771,0
772,1
776,0
778,0
780,0
785,0
789,0
792,0
793,0
811,0
813,0
816,1
821,1
824,1
825,0
827,1
830,0
831,0
839,0
844,0
847,0
850,0
854,0
855,0
858,1
861,0
862,1
865,1
869,0
879,1
880,1
887,1
889,0
897,1
900,0
901,0
904,0
908,0
909,0
910,0
913,1
914,1
917,0
918,0
920,1
922,0
924,0
925,0
927,1
933,1
937,1
943,0
949,0
950,0
954,0
966,0
967,1
969,0
970,1
973,0
975,1
980,0
988,0
989,0
995,0
1000,0
1003,1
1007,0
1011,0
1012,0
1013,1
1014,0
1016,0
1019,1
1025,1
1027,0
1028,0
1030,0
1033,0
1034,1
1039,0
1046,1
1047,1
1053,1
1055,1
1056,1
1059,1
1060,1
1063,1
1064,1
1068,1
1076,0
1086,1
1087,0
1089,0
1092,0
1095,1
1096,1
1097,0
1100,0
1101,0
1107,1
1108,1
1111,1
1115,1
1116,0
1121,0
1125,0
1127,1
1131,1
1133,0
1135,0
1137,1
1140,1
1144,1
1147,1
1148,0
1150,1
1158,0
1159,0
1161,0
1163,1
1165,1
1169,0
1171,0
1172,0
1176,1
1180,1
1184,0
1186,1
1187,1
1192,1
1193,1
1194,0
1197,0
1200,0
1205,1
1210,1
1216,1
1220,0
1231,0
1233,1
1246,1
1247,1
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1265,0
1266,1
1268,0
1274,1
1281,0
1285,1
1286,0
1291,0
1292,1
1295,0
1299,0
1306,0
1310,0
1311,1
1313,0
1314,0
1322,0
1323,0
1325,0
1329,0
1330,1
1333,1
1336,0
1339,0
1342,0
1344,0
1355,1
1357,0
1358,0
1359,1
1364,1
1366,0
1367,1
1370,0
1373,0
